Close,High,Low,Open,Volume
MSFT,MSFT,MSFT,MSFT,MSFT
35.864070892333984,36.49866303144767,34.46027616035523,36.114061735015135,53228400
34.65257263183594,36.037137132109066,34.53719225681317,34.94102356939284,54119000
35.017967224121094,35.80640031373612,33.65263187381215,34.19107398379314,64059600
33.84491729736328,35.03718142942949,33.344935564561325,34.5179696299813,54976600
34.28722381591797,34.537214791580865,33.01803886255253,33.42187043862335,62013600
34.53720474243164,34.97949633991267,34.267983770051885,34.902576062089885,44963600
33.65261459350586,35.15255970110212,33.44108387320382,34.306436819893975,46743600
32.556495666503906,33.49876872477839,32.13343429340108,33.383388350295796,66532400
33.1718635559082,33.42185441169186,31.22962690712749,32.11420993528505,83144000
34.53720474243164,35.05641661773546,32.537277519039165,32.979569116520196,73416400
35.47947692871094,35.844848235835876,34.38336300733613,34.40259307613218,81483600
32.921871185302734,34.30643586132014,32.61419014618776,33.998754822205164,97568200
32.61419677734375,33.74877083976314,32.57573663963462,32.941107947871366,56349800
31.921911239624023,32.99879499228604,31.76807070352945,32.92187472423875,68416200
31.152708053588867,32.518042789270844,31.01809758669064,31.936333271603523,63597600
31.633468627929688,31.960379853871817,30.63350487798905,31.07579653661664,59823200
30.575807571411133,31.84499203663952,30.498887300791232,31.518080886504936,49365000
30.383508682250977,31.133481364914132,29.92198703138134,30.73445743759976,63654800
30.22967529296875,30.845037639899413,29.92199411950342,30.191215146285586,58225400
30.11428451538086,30.210434849082585,29.19124131184428,30.037364248419475,73194200
31.671920776367188,31.7680711126646,30.056595126570684,30.306586000943952,70196600
31.018096923828125,31.979600238267928,30.921946592384142,31.51807864733682,49915600
31.883459091186523,32.05652973764049,30.80657506880628,31.402707295481058,49186000
32.78726577758789,33.22955733939699,32.042100646279074,32.11421340092186,55365400
32.806495666503906,32.88341593770321,32.0757530901105,32.86418586990339,40005800
33.82570266723633,33.844932742658294,32.74881844360629,32.74881844360629,56229000
31.998830795288086,33.67184658807057,31.96037066212067,33.67184658807057,55090000
32.61419677734375,32.78726739703484,31.53731292148806,31.96518195350215,54527800
30.748876571655273,32.26805183692154,30.498885705219053,32.26805183692154,115559000
30.65273094177246,31.306553308159074,30.479660315376005,31.147905233962323,81028600
30.325809478759766,30.7681009296231,30.191199037192664,30.69118067729904,71027600
30.037368774414062,30.825801629568335,29.88352821731079,30.5373505849997,65202600
30.65273094177246,30.671961011372066,29.88833567518811,30.306589688979546,80343400
29.248931884765625,30.787337243596163,29.19124168380948,30.768107176610783,79063000
28.864328384399414,29.883521858332237,28.556647335664977,29.268159760863362,66296200
28.998937606811523,29.46045916023558,28.32588534140144,28.768176830099495,75847200
29.152774810791016,29.49891593651281,28.306652059026632,28.99893431047022,69733200
28.095111846923828,29.138342386072093,27.845121118648667,29.133534872066804,65301400
28.172042846679688,28.34511341706885,27.114389360968165,27.768211515771654,76131800
27.49899673461914,28.22973930518944,27.345156193446446,28.22973930518944,58437400
27.941287994384766,28.950866535131635,27.36438597110084,27.575916712971615,106889800
28.729705810546875,29.34506764852378,28.037423742822853,28.248954374627413,106932600
29.575838088989258,30.421960895176205,28.883555793018118,29.152776685895784,101435200
27.88359260559082,29.960439503110685,27.72975209466342,29.537378098060344,93609400
28.575883865356445,29.998909037655487,28.28743281691745,29.57584749994496,135061000
29.402767181396484,29.59506781698443,27.998972541604502,28.864325401750246,94290000
30.768110275268555,30.768110275268555,29.22970476150513,29.32585510611534,88198800
31.07578468322754,31.53730623792894,30.614263128526144,30.633493193305366,85589000
30.15273666381836,30.845018883140717,29.99889617063561,30.0373562939313,61831800
29.268163681030273,30.537348177053925,29.268163681030273,30.34504749583822,73489200
29.34507179260254,29.729672995651068,28.82586016848703,29.095081010620998,53208000
29.34507179260254,29.748903055803492,28.691249747420045,29.518142333974378,77300800
30.575807571411133,30.614267706721087,29.07586229432304,29.306623106182748,81161600
29.960445404052734,30.69118797488329,29.69122445690464,30.383506892428322,47773000
31.61423683166504,31.729617258057978,29.691229725116074,29.768150009378033,81648800
31.768064498901367,32.49880690262913,31.11424234819759,31.633454056109414,93975800
34.42182159423828,34.729502681114155,32.80649588813995,32.86418609192918,148224000
34.3641357421875,35.383329471530494,33.71031334977878,34.65258679766193,112196800
32.018062591552734,33.306477122263864,31.979602456307628,33.157444098189075,111434000
32.09498977661133,33.05649336488608,31.498857551880977,31.88345898719088,81114400
32.97956848144531,33.51801041583626,32.34497620162742,32.364206270712806,64363800
31.806529998779297,33.42185558517438,31.53730906771345,32.671882991490946,64178400
32.691123962402344,33.30648629581227,32.0373014831543,32.614203670726106,64281400
27.960514068603516,29.691219891281865,27.69129316285355,29.056627756299804,260118200
27.249008178710938,28.306661989458362,26.133664160104562,28.172051504454146,181244400
26.575946807861328,27.229768943510596,26.42210630535562,27.15284869225774,82887600
26.460569381713867,27.075931460358376,26.234616118461588,27.037471330443093,66421400
27.402843475341797,27.49899380332545,26.152889211554278,26.76825131064967,82613600
26.47980499267578,27.26823782107063,26.46057492369054,27.26823782107063,60685400
25.806747436523438,26.479799716909667,25.691367045600085,26.191348739601285,71961800
24.422195434570312,25.306778891255536,24.229894683117003,25.268318740964876,153003800
24.38373565673828,25.306779277813547,24.30681535498201,24.88371761815405,94316200
22.80686378479004,24.460649860246992,22.537642795762164,24.3452694363779,151217800
23.345308303833008,23.383768449308842,22.460724957888758,22.845326412647125,119772200
24.78754997253418,25.210611337464943,23.345295319361128,23.537595939784204,91794600
24.210660934448242,25.076014184686663,24.037590284400558,25.056784112459145,53715400
